"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 18:21:26 IST 2024","Mon Jun 17 18:21:34 IST 2024","8089","Flipbooks / Digital Samplers","blog/6-spiritually-revolutionary-ideas","","","","should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:56 IST 2024","Mon Jun 17 18:18:57 IST 2024","1494","Bookstore","books: Dynamic data test","","","","#257 Book with Title:The Holy Science should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:17:46 IST 2024","Mon Jun 17 18:17:47 IST 2024","1315","Bookstore","books: Dynamic data test","","","","#3 Book with Title:Who Made God? should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:31 IST 2024","Mon Jun 17 18:18:32 IST 2024","1206","Bookstore","books: Dynamic data test","","","","#122 Book with Title:Two Frogs in Trouble should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:20 IST 2024","Mon Jun 17 18:18:22 IST 2024","1183","Bookstore","books: Dynamic data test","","","","#97 Book with Title:The Skilled Profession of Child-Rearing should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:17:54 IST 2024","Mon Jun 17 18:17:56 IST 2024","1167","Bookstore","books: Dynamic data test","","","","#9 Book with Title:Collected Talks and Essays - Gift Pack of 3 Books should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:17:26 IST 2024","Mon Jun 17 18:17:28 IST 2024","2798","Bookstore","magazine:Subscription","","","","HINDI - Yogoda Satsanga Magazine Subscription should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:17 IST 2024","Mon Jun 17 18:18:19 IST 2024","1281","Bookstore","books: Dynamic data test","","","","#85 Book with Title:The Guru-Disciple Relationship should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:22 IST 2024","Mon Jun 17 18:19:24 IST 2024","1371","Bookstore","audio: Dynamic data test","","","","#4 Audio with Title:If You Would Know the Guru should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:11 IST 2024","Mon Jun 17 18:18:12 IST 2024","1401","Bookstore","books: Dynamic data test","","","","#64 Book with Title:Ridding the Consciousness of Worry should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:50 IST 2024","Mon Jun 17 18:19:52 IST 2024","1506","Bookstore","audio: Dynamic data test","","","","#23 Audio with Title:One Life Versus Reincarnation should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:20:10 IST 2024","Mon Jun 17 18:20:11 IST 2024","1167","Bookstore","audio: Dynamic data test","","","","#37 Audio with Title:Strengthening the Power of the Mind should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:44 IST 2024","Mon Jun 17 18:18:45 IST 2024","1121","Bookstore","books: Dynamic data test","","","","#197 Book with Title:Increasing The Power of Initiative should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:17:28 IST 2024","Mon Jun 17 18:17:31 IST 2024","2655","Bookstore","magazine:Subscription","","","","BENGALI - Yogoda Satsanga Magazine Subscription should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:15 IST 2024","Mon Jun 17 18:18:16 IST 2024","1245","Bookstore","books: Dynamic data test","","","","#82 Book with Title:The Art of Living should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:19:57 IST 2024","Mon Jun 17 18:19:59 IST 2024","1349","Bookstore","audio: Dynamic data test","","","","#28 Audio with Title:Anchoring Your Life in God should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:35 IST 2024","Mon Jun 17 18:18:36 IST 2024","927","Bookstore","books: Dynamic data test","","","","#124 Book with Title:Wine of the Mystic should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:12 IST 2024","Mon Jun 17 18:18:13 IST 2024","1289","Bookstore","books: Dynamic data test","","","","#72 Book with Title:Sayings of Paramahansa Yogananda should have new Preview link and give 200 OK status",""
"passed","Mon Jun 17 18:18:37 IST 2024","Mon Jun 17 18:18:39 IST 2024","1432","Bookstore","books: Dynamic data test","","","","#126 Book with Title:Answered Prayers should have new Preview link and give 200 OK status",""
